beamtime,crystal,logbook_entry,sample,data_type,date_collected,subject_composition,beamline,beamline_ror,has_background_images,has_braggs,has_diffuse
als_20250701,xtal3,https://diffuse.science/logbook/beamtime/20250701-als/,SARS-CoV-2 Mac1,X-Ray Diffraction,2025-07-01,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,FALSE,TRUE,FALSE
als_20250701,xtal7,https://diffuse.science/logbook/beamtime/20250701-als/,SARS-CoV-2 Mac1,X-Ray Diffraction,2025-07-01,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,FALSE,TRUE,FALSE
als_20250701,xtal10,https://diffuse.science/logbook/beamtime/20250701-als/,SARS-CoV-2 Mac1,X-Ray Diffraction,2025-07-01,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,FALSE,TRUE,FALSE
als_20250701,xtal9,https://diffuse.science/logbook/beamtime/20250701-als/,SARS-CoV-2 Mac1,X-Ray Diffraction,2025-07-01,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,FALSE,TRUE,FALSE
als_20251015,mac1_7,https://diffuse.science/logbook/beamtime/20251015-17-als/#humidity-box-mac1-crystal-7,SARS-CoV-2 Mac1,X-Ray Diffraction,2025-10-15,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,TRUE,TRUE,TRUE
als_20260423,mac1_4,https://diffuse.science/logbook/beamtime/20260423_als/#mac1-apo-4,SARS-CoV-2 Mac1,X-Ray Diffraction,2026-04-23,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,TRUE,TRUE,TRUE
als_20260423,mac1_6,https://diffuse.science/logbook/beamtime/20260423_als/#mac1-apo-6,SARS-CoV-2 Mac1,X-Ray Diffraction,2026-04-23,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,TRUE,TRUE,TRUE
als_20260423,mac1_7,https://diffuse.science/logbook/beamtime/20260423_als/#mac1-apo-7,SARS-CoV-2 Mac1,X-Ray Diffraction,2026-04-23,protein,"beamline 8.3.1, ALS (Advanced Light Source), Berkeley, CA",https://ror.org/00319zh75,TRUE,TRUE,TRUE
